Probiotic Species, Subject 100, Subject 110, Subject 111, Subject 126, Subject 132, Subject 133, Subject 144, Subject 153, Subject 156, Subject 157, Subject 158, Subject 166, Subject 171, Subject 176, Subject 35, Subject 53, Subject 55, Subject 59, Subject 67, Subject 69
Anaerotruncus colihominis,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1
Dorea longicatena,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0
Enterocloster bolteae,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0
Flavonifractor plautii,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1
Sellimonas intestinalis,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Clostridium symbiosum,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1
