reaction,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
EX_etoh_m,etoh,7.8144671835792,ethanol,HMDB00108,C00469,702.0,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,EX_etoh_m,EX_etoh(e)
EX_h2o_m,h2o,330000.0,Water,HMDB02111,C00001,962.0,InChI=1S/H2O/h1H2,,EX_h2o_m,EX_h2o(e)
EX_caro_m,caro,0.0001195193546228,beta-carotene,HMDB00561,C02094,,,,EX_caro_m,EX_caro(e)
EX_retinol_m,retinol,0.10007507958296168,retinol,HMDB00305,C00473,445354.0,"InChI=1S/C20H30O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,21H,7,10,14-15H2,1-5H3",,EX_retinol_m,EX_retinol(e)
EX_thm_m,thm,0.18026193377967936,Thiamin,HMDB00235,C00378,1130.0,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1",,EX_thm_m,EX_thm(e)
EX_ribflv_m,ribflv,0.00012310780426425,Riboflavin,HMDB00244,C00255,493570.0,,,EX_ribflv_m,EX_ribflv(e)
EX_nac_m,nac,0.010287206408875666,Nicotinate,HMDB01488,C00253,938.0,,,EX_nac_m,EX_nac(e)
EX_ncam_m,ncam,0.004850920016660567,Nicotinamide,HMDB01406,C00153,936.0,,,EX_ncam_m,EX_ncam(e)
EX_pnto_R_m,pnto_R,0.0008523234980089499,(R)-Pantothenate,HMDB00210,C00864,988.0,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/p-1",,EX_pnto_R_m,EX_pnto_R(e)
EX_pydam_m,pydam,0.00010572566881335001,Pyridoxamine,HMDB01431,C00534,1052.0,"InChI=1S/C8H12N2O2/c1-5-8(12)7(2-9)6(4-11)3-10-5/h3,11-12H,2,4,9H2,1H3/p+1",,EX_pydam_m,EX_pydam(e)
EX_pydxn_m,pydxn,0.00010574016737945,Pyridoxine,HMDB00239,C00314,1054.0,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",,EX_pydxn_m,EX_pydxn(e)
EX_pydx_m,pydx,0.00010701528390955001,Pyridoxal,HMDB01545,C00250,1050.0,"InChI=1S/C8H9NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,4,10,12H,3H2,1H3",,EX_pydx_m,EX_pydx(e)
EX_btn_m,btn,5.955544266459999e-06,Biotin,HMDB00030,C00120,171548.0,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/p-1/t6-,7-,9-/m0/s1",,EX_btn_m,EX_btn(e)
EX_10fthf_m,10fthf,4.1917379012833336e-06,10-Formyltetrahydrofolate,HMDB00972,C00234,122347.0,,,EX_10fthf_m,EX_10fthf(e)
EX_5mthf_m,5mthf,4.310377107916666e-06,5-Methyltetrahydrofolate,HMDB01396,C00440,439234.0,,,EX_5mthf_m,EX_5mthf(e)
EX_thf_m,thf,4.456526976823334e-06,"5,6,7,8-Tetrahydrofolate",HMDB01846,C00101,91443.0,,,EX_thf_m,EX_thf(e)
EX_ascb_L_m,ascb_L,0.019448038883134,L-ascorbate,HMDB00044,C00072,,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/p-1/t2-,5+/m0/s1",,EX_ascb_L_m,EX_ascb_L(e)
